X,MONTH_5,POPD_LESS DENSE,SSTA_HOT,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_NORMAL,TEMPN_NORMAL,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
VI,MONTH_6,POPD_LESS DENSE,SSTA_HOT,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_POOR,NDVI_GREENER,EVI_DENSER,TEMPS_NORMAL,TEMPN_HOT,POLS_VERY STABLE,DENGUE_LOW,DENGUE NEXT_HIGH
XII,MONTH_3,POPD_LOWLY DENSE,SSTA_HOT,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_POOR,NDVI_GREENER,EVI_DENSER,TEMPS_HOT,TEMPN_HOT,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
VI,MONTH_8,POPD_LESS DENSE,SSTA_COLD,SOI_LOW,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_SMALL,POV_POOR,NDVI_GREEN,EVI_DENSE,TEMPS_HOT,TEMPN_COLD,POLS_VERY UNSTABLE,DENGUE_HIGH,DENGUE NEXT_LOW
I,MONTH_8,POPD_LOWLY DENSE,SSTA_NORMAL,SOI_LOW,TDIST_NEAR,TWIND_STRONG,RAINFALL_SMALL,POV_NORMAL,NDVI_GREENEST,EVI_DENSER,TEMPS_HOT,TEMPN_NORMAL,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
V,MONTH_12,POPD_HIGHLY DENSE,SSTA_NORMAL,SOI_HIGH,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_MEDIUM,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_COLD,TEMPN_NORMAL,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
VIII,MONTH_11,POPD_LESS DENSE,SSTA_COLD,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_WARM,TEMPN_HOT,POLS_VERY STABLE,DENGUE_LOW,DENGUE NEXT_LOW
VIII,MONTH_4,POPD_LESS DENSE,SSTA_HOT,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_MEDIUM,POV_POOR,NDVI_GREENER,EVI_DENSER,TEMPS_HOT,TEMPN_HOT,POLS_VERY STABLE,DENGUE_LOW,DENGUE NEXT_LOW
IX,MONTH_1,POPD_LOWLY DENSE,SSTA_WARM,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_HOT,TEMPN_HOT,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
X,MONTH_5,POPD_LESS DENSE,SSTA_WARM,SOI_LOW,TDIST_NEAR,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_COLD,TEMPN_WARM,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
V,MONTH_1,POPD_HIGHLY DENSE,SSTA_NORMAL,SOI_LA NINA,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_NORMAL,TEMPN_HOT,POLS_VERY STABLE,DENGUE_LOW,DENGUE NEXT_LOW
XI,MONTH_1,POPD_LESS DENSE,SSTA_NORMAL,SOI_LA NINA,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_MEDIUM,POV_MILDLY NORMAL,NDVI_GREEN,EVI_DENSER,TEMPS_HOT,TEMPN_NORMAL,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
VII,MONTH_3,POPD_DENSE,SSTA_HOT,SOI_LOW,TDIST_NEAR,TWIND_MODERATELY STRONG,RAINFALL_MEDIUM,POV_NORMAL,NDVI_GREENER,EVI_DENSER,TEMPS_HOT,TEMPN_HOT,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
VI,MONTH_5,POPD_LESS DENSE,SSTA_HOT,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_POOR,NDVI_GREENER,EVI_DENSER,TEMPS_HOT,TEMPN_WARM,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_HIGH
XII,MONTH_5,POPD_LOWLY DENSE,SSTA_HOT,SOI_LOW,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_MEDIUM,POV_POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_HOT,TEMPN_WARM,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
XI,MONTH_1,POPD_LESS DENSE,SSTA_WARM,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_MILDLY NORMAL,NDVI_GREENEST,EVI_DENSER,TEMPS_HOT,TEMPN_HOT,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
VII,MONTH_7,POPD_DENSE,SSTA_NORMAL,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_SMALL,POV_NORMAL,NDVI_GREEN,EVI_DENSEST,TEMPS_NORMAL,TEMPN_NORMAL,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_HIGH
IX,MONTH_12,POPD_LOWLY DENSE,SSTA_WARM,SOI_LOW,TDIST_NEAR,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_WARM,TEMPN_WARM,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
VII,MONTH_4,POPD_DENSE,SSTA_HOT,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_NORMAL,NDVI_LESS GREEN,EVI_LESS DENSE,TEMPS_HOT,TEMPN_HOT,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
VIII,MONTH_7,POPD_LESS DENSE,SSTA_WARM,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY STRONG,RAINFALL_LARGE,POV_POOR,NDVI_GREEN,EVI_DENSER,TEMPS_WARM,TEMPN_HOT,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_HIGH
II,MONTH_11,POPD_LOWLY DENSE,SSTA_COLD,SOI_HIGH,TDIST_DIRECT HIT,TWIND_MODERATELY STRONG,RAINFALL_SMALL,POV_MILDLY NORMAL,NDVI_GREENER,EVI_DENSE,TEMPS_WARM,TEMPN_NORMAL,POLS_VERY STABLE,DENGUE_LOW,DENGUE NEXT_LOW
XI,MONTH_11,POPD_LESS DENSE,SSTA_COLD,SOI_HIGH,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_SMALL,POV_MILDLY NORMAL,NDVI_GREENER,EVI_DENSER,TEMPS_WARM,TEMPN_COLD,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
III,MONTH_1,POPD_DENSE,SSTA_WARM,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_SMALL,POV_MILDLY NORMAL,NDVI_GREEN,EVI_DENSE,TEMPS_HOT,TEMPN_HOT,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
VII,MONTH_11,POPD_DENSE,SSTA_NORMAL,SOI_HIGH,TDIST_NEAR,TWIND_STRONG,RAINFALL_SMALL,POV_NORMAL,NDVI_GREENER,EVI_DENSEST,TEMPS_HOT,TEMPN_HOT,POLS_UNSTABLE,DENGUE_HIGH,DENGUE NEXT_HIGH
VI,MONTH_7,POPD_LESS DENSE,SSTA_WARM,SOI_LOW,TDIST_NEAR,TWIND_STRONG,RAINFALL_SMALL,POV_POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_HOT,TEMPN_HOT,POLS_VERY UNSTABLE,DENGUE_HIGH,DENGUE NEXT_HIGH
XIII,MONTH_12,POPD_LOWLY DENSE,SSTA_WARM,SOI_LOW,TDIST_NEAR,TWIND_MODERATELY STRONG,RAINFALL_MEDIUM,POV_NORMAL,NDVI_GREENER,EVI_DENSEST,TEMPS_WARM,TEMPN_WARM,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_HIGH
XI,MONTH_12,POPD_LESS DENSE,SSTA_NORMAL,SOI_HIGH,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_MEDIUM,POV_MILDLY NORMAL,NDVI_GREEN,EVI_DENSE,TEMPS_WARM,TEMPN_NORMAL,POLS_UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
IX,MONTH_8,POPD_LOWLY DENSE,SSTA_COLD,SOI_LOW,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_SMALL,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_COLD,TEMPN_WARM,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
X,MONTH_1,POPD_LESS DENSE,SSTA_WARM,SOI_LOW,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREEN,EVI_DENSE,TEMPS_WARM,TEMPN_HOT,POLS_VERY UNSTABLE,DENGUE_LOW,DENGUE NEXT_LOW
IX,MONTH_2,POPD_LOWLY DENSE,SSTA_WARM,SOI_LA NINA,TDIST_DIRECT HIT,TWIND_MODERATELY WEAK,RAINFALL_LARGE,POV_MILDLY POOR,NDVI_GREENEST,EVI_DENSEST,TEMPS_COLD,TEMPN_HOT,POLS_STABLE,DENGUE_LOW,DENGUE NEXT_LOW
III,MONTH_6,POPD_DENSE,SSTA_WARM,SOI_HIGH,TDIST_DIRECT HIT,TWIND_WEAK,RAINFALL_MEDIUM,POV_MILDLY NORMAL,NDVI_GREENER,EVI_DENSER,TEMPS_COLD,TEMPN_NORMAL,POLS_VERY UNSTABLE,DENGUE_HIGH,DENGUE NEXT_HIGH
